,date_tag_0,value_tag_0,date_tag_1,value_tag_1,date_tag_2,value_tag_2,date_tag_3,value_tag_3,date_tag_4,value_tag_4
122,2022-01-13T04:52:12.919,44.0,2022-01-11T13:40:13.051,43.0,2022-01-12T21:47:13.068,75.0,2022-01-12T04:52:13.43,75.0,2022-01-12T00:47:07.928,42.8
123,2022-01-13T05:17:12.94,44.0,2022-01-11T13:42:08.054,44.0,2022-01-12T22:12:13.089,75.0,2022-01-12T05:22:13.355,75.0,2022-01-12T00:54:07.959,42.9
124,2022-01-13T05:47:12.864,44.0,2022-01-11T13:44:41.059,43.0,2022-01-12T22:42:13.014,75.0,2022-01-12T05:47:13.376,75.0,2022-01-12T01:04:21.071,42.9
125,2022-01-13T06:12:12.885,44.0,2022-01-11T13:47:37.043,44.0,2022-01-12T23:07:13.034,75.0,2022-01-12T06:12:13.397,75.0,2022-01-12T01:07:19.036,42.9
126,2022-01-13T06:37:12.906,44.0,2022-01-11T13:52:10.926,43.0,2022-01-12T23:22:13.047,75.0,2022-01-12T06:37:13.417,75.0,2022-01-12T01:11:58.941,42.8
127,2022-01-13T07:07:12.83,44.0,2022-01-11T13:52:56.947,44.0,2022-01-12T23:24:25.241,76.0,2022-01-12T07:07:13.342,75.0,2022-01-12T01:28:58.995,42.9
128,2022-01-13T07:32:12.851,44.0,2022-01-11T13:54:50.936,43.0,2022-01-12T23:24:49.25,76.0,2022-01-12T07:32:13.363,75.0,2022-01-12T01:31:49.005,42.9
129,2022-01-13T07:47:12.863,44.0,2022-01-11T14:07:13.7,43.0,2022-01-12T23:25:17.236,76.0,2022-01-12T07:57:13.383,75.0,2022-01-12T01:55:15.035,42.8
130,2022-01-13T07:50:41.015,45.0,2022-01-11T14:09:18.984,44.0,2022-01-12T23:25:49.247,76.0,2022-01-12T08:27:13.308,75.0,2022-01-12T02:05:45.136,43.0
131,2022-01-13T07:53:50.056,49.0,2022-01-11T14:14:08.895,43.0,2022-01-12T23:26:19.262,75.0,2022-01-12T08:52:13.329,75.0,2022-01-12T02:31:03.059,43.0
132,2022-01-13T07:55:17.993,50.0,2022-01-11T14:15:47.893,44.0,2022-01-12T23:27:02.256,75.0,2022-01-12T09:17:13.349,75.0,2022-01-12T02:38:47.128,43.0
